x,y,name
-68791.2184918,38058.6424563,"'Italvi Distribuciones, s.a.'"
-68791.2184918,38058.6424563,"'Cuñado, s.a.'"
-68791.2184918,38058.6424563,"'ALU-DISSENY, SL'"
-68791.2184918,38058.6424563,'Dafonte'
-68791.2184918,38058.6424563,'Pintura Decorativa Grau'
8571.85240359,-3699.92116218,'Fira de Llibre Vell *Plaça de Sarrià'
-68791.2184918,38058.6424563,'PLANTS IBERICA S.A. ICELANDIC FREEZING'
-68791.2184918,38058.6424563,"'IBANIX, S.L.'"
-68791.2184918,38058.6424563,'AGROTOM'
-68791.2184918,38058.6424563,'MATERIAL ELECTRIC I FONTANERIA'
9911.57383175,1585.11958451,'Fira Brocanters *Moll de les Drassanes'
-68791.2184918,38058.6424563,'LA CASERA'
-68791.2184918,38058.6424563,'Reixago Gelats'
-68791.2184918,38058.6424563,"'Gros Mercat - Miquel Alimentació Grup, s.a.'"
-68791.2184918,38058.6424563,"'Comercial Carrion Articulos de Regalo, s.l.'"
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
8005.47040956,-970.922957049,'Mercat del Vell *Estació de Sants'
8005.47040956,-970.922957049,'ArteSants - Mercat d'Artesania *Est Sants'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
-68791.2184918,38058.6424563,'Centre Comercial Sant Boi de Llobregat - Alcampo'
